code	name	population
01001	Alegría-Dulantzi	2935
01002	Amurrio	10264
01003	Aramaio	1442
01004	Artziniega	1800
01006	Armiñón	223
01008	Arratzua-Ubarrundia	984
01009	Asparrena	1623
01010	Ayala/Aiara	2968
01011	Baños de Ebro/Mañueta	294
01013	Barrundia	881
01014	Berantevilla	463
01016	Bernedo	507
01017	Campezo/Kanpezu	1034
01018	Zigoitia	1749
01019	Kripan	178
01020	Kuartango	385
01021	Elburgo/Burgelu	608
01022	Elciego	1001
01023	Elvillar/Bilar	330
01027	Iruraiz-Gauna	532
01028	Labastida/Bastida	1517
01030	Lagrán	162
01031	Laguardia	1454
01032	Lanciego/Lantziego	709
01033	Lapuebla de Labarca	865
01034	Leza	211
01036	Laudio/Llodio	18118
01037	Arraia-Maeztu	733
01039	Moreda de Álava/Moreda Araba	211
01041	Navaridas	194
01042	Okondo	1203
01043	Oyón-Oion	3410
01044	Peñacerrada-Urizaharra	262
01046	Erriberagoitia/Ribera Alta	782
01047	Erriberabeitia	1383
01049	Añana	149
01051	Agurain/Salvatierra	5038
01052	Samaniego	315
01053	San Millán/Donemiliaga	706
01054	Urkabustaiz	1386
01055	Valdegovía/Gaubea	986
01056	Harana/Valle de Arana	218
01057	Villabuena de Álava/Eskuernaga	274
01058	Legutio	1921
01059	Vitoria-Gasteiz	253996
01060	Yécora/Iekora	270
01061	Zalduondo	185
01062	Zambrana	416
01063	Zuia	2300
01901	Iruña Oka/Iruña de Oca	3488
01902	Lantarón	877
02001	Abengibre	761
02002	Alatoz	506
02003	Albacete	174336
02004	Albatana	679
02005	Alborea	664
02006	Alcadozo	647
02007	Alcalá del Júcar	1194
02008	Alcaraz	1324
02009	Almansa	24511
02010	Alpera	2261
02011	Ayna	591
02012	Balazote	2327
02013	Balsa de Ves	131
02014	Ballestero, El	396
02015	Barrax	1799
02016	Bienservida	579
02017	Bogarra	807
02018	Bonete	1029
02019	Bonillo, El	2723
02020	Carcelén	546
02020	Carcelén	518
02020	Carcelén	521
02020	Carcelén	508
02020	Carcelén	501
02020	Carcelén	495
02021	Casas de Juan Núñez	1326
02022	Casas de Lázaro	348
02023	Casas de Ves	563
02024	Casas-Ibáñez	4544
02025	Caudete	10005
02026	Cenizate	1194
02027	Corral-Rubio	311
02028	Cotillas	118
02029	Chinchilla de Monte-Aragón	4205
02030	Elche de la Sierra	3520
02031	Férez	629
02032	Fuensanta	291
02033	Fuente-Álamo	2474
02034	Fuentealbilla	1831
02035	Gineta, La	2548
02036	Golosalvo	98
02037	Hellín	30200
02038	Herrera, La	322
02039	Higueruela	1135
02040	Hoya-Gonzalo	630
02041	Jorquera	342
02042	Letur	892
02043	Lezuza	1332
02044	Liétor	1150
02045	Madrigueras	4634
02046	Mahora	1362
02047	Masegoso	104
02048	Minaya	1475
02049	Molinicos	813
02050	Montalvos	88
02051	Montealegre del Castillo	2041
02052	Motilleja	578
02053	Munera	3429
02054	Navas de Jorquera	521
02055	Nerpio	1178
02056	Ontur	1976
02057	Ossa de Montiel	2262
02058	Paterna del Madera	329
02059	Peñascosa	333
02060	Peñas de San Pedro	1394
02061	Pétrola	681
02062	Povedilla	405
02063	Pozohondo	1593
02064	Pozo-Lorente	408
02065	Pozuelo	469
02066	Recueja, La	231
02067	Riópar	1341
02068	Robledo	376
02069	Roda, La	15527
02070	Salobre	470
02071	San Pedro	1171
02072	Socovos	1778
02073	Tarazona de la Mancha	6187
02074	Tobarra	7709
02075	Valdeganga	1990
02076	Vianos	329
02077	Villa de Ves	61
02078	Villalgordo del Júcar	1102
02079	Villamalea	4070
02080	Villapalacios	583
02081	Villarrobledo	25116
02082	Villatoya	109
02083	Villavaliente	220
02084	Villaverde de Guadalimar	325
02085	Viveros	329
